ST_ID,LATITUDE,LONGITUDE,NAME,OSM_ID
1316.0,51.499,44.4565,Калининск-Саратовский,916806674.0
1323.0,52.296,45.3865,Петровск-Саратовский,10674929705.0
1329.0,52.2618,45.8201,Подснежная,5175013095.0
1332.0,52.2093,46.1242,Бурасы,2010130349.0
1334.0,52.3295,46.3667,Карабулак,1882913819.0
1336.0,52.3499,46.5559,Высотная,1865379624.0
1338.0,52.3129,46.7217,Барнуковка,1865379622.0
1342.0,48.7128,44.5133,Комсомольская,5505649037.0
1343.0,48.7264,44.5289,Центральный парк культуры и отдыха,5505649034.0
1344.0,48.7381,44.5409,Центральный стадион,5505648416.0
1345.0,48.7701,44.5269,Воссоединение,2492856474.0
1348.0,48.819,44.6076,Спартановка,2492812434.0
